reading,pitch,roll,yaw (compass),cardinal direction,accel x,accel y,accel z,gyro x,gyro y,gyro z,mag x, mag y, mag z
235,71.24031,-3.247273,256.7869,W,0.794875,7.699753,-5.628768,3.502118,0.836959,-0.3627888,-38.89554,-9.132229,80.18389
236,66.26377,-3.529038,259.6365,W,0.9050082,6.55293,-7.881712,3.122542,0.5313264,-0.07234459,-37.95637,-6.941321,67.72939
237,59.48082,-4.339357,262.0608,W,0.9744401,5.092467,-8.020576,2.799856,0.07754061,0.2440797,-37.20503,-5.188594,57.76578
238,37.40073,-7.165213,264.8108,W,1.577779,3.450045,-9.739613,2.609335,0.03011027,0.260334,-34.41921,-3.125827,44.521
239,20.80132,-7.975633,267.3754,W,1.735796,2.607286,-10.04846,2.526998,-0.0915299,0.3039006,-32.19056,-1.475613,33.92518
240,0.7042542,-5.875718,269.8223,W,1.312023,1.577779,-9.988609,2.449191,-0.3677184,0.373847,-28.08844,-0.08710504,24.15491
241,-12.74719,-2.207321,272.3631,W,0.6655881,0.320823,-10.22085,2.547516,-0.6004735,0.4507215,-24.80675,1.023701,16.3387
242,-16.59963,-3.970596,276.3234,W,1.051055,-0.7852982,-10.91277,2.591882,-0.4873601,0.4483233,-19.92943,2.208472,10.38426
243,-37.17515,-5.594162,281.1406,W,1.367089,-2.176329,-10.74039,2.360459,-0.2664626,0.4280722,-16.02757,3.156288,5.620699
244,-76.93233,-5.754865,290.1653,W,1.556231,-4.754885,-11.2312,1.030411,0.3515974,-0.1983814,-10.72134,3.937319,3.899513
245,-83.30166,-3.690683,306.8426,NW,1.079785,-5.379771,-10.55604,0.2101058,0.2081073,-0.05102758,-5.602462,4.197683,4.71173
246,-85.04078,-3.610196,341.1133,N,1.051055,-5.580884,-10.29986,-0.3136265,-0.1216402,-0.1729342,-1.507356,4.405974,5.361504
247,-80.18863,-2.496281,28.94698,NE,0.8834604,-5.181053,-11.4778,-0.8520142,-0.46138,-0.02464779,2.340123,4.230925,6.577878
248,-74.26188,-3.489346,45.69494,NE,1.173159,-4.745308,-12.52407,-2.017655,-0.6268532,-0.1055192,4.611433,4.500904,6.953931
249,-54.89624,-1.175467,53.7307,NE,0.6105214,-3.335123,-12.54801,-3.077776,-0.4944214,-0.1275023,6.42848,4.716887,7.254773
250,-25.41251,1.205995,40.94646,NE,0.06464344,-1.58975,-11.81299,-3.37275,-0.2979052,-0.06701534,5.092366,5.869165,4.211697
251,-9.079712,3.157144,30.6456,NE,-0.3064578,0.890643,-10.66378,-3.493724,-0.1742665,-0.1124472,4.023476,6.790987,1.777235
252,29.08017,2.686895,3.151268,N,-0.2011129,2.930503,-9.399636,-3.696769,-0.1145789,-0.09939054,0.4458344,8.097917,-0.4688572
253,55.31955,6.189893,345.1972,N,-0.7733272,4.599261,-8.267179,-3.792029,-0.04916235,0.1851915,-2.416279,9.14346,-2.265731
254,67.12049,4.193206,321.3115,NW,-0.4261679,6.272809,-6.615179,-3.943113,0.0110582,0.3120277,-7.663777,9.569876,-0.3199712
255,75.78472,1.269356,300.4761,NW,0.03112462,7.165846,-0.7876924,-4.056893,-0.2135698,1.020685,-14.24819,8.384824,7.903644
256,78.71539,-14.3478,290.8602,W,1.970428,6.739678,1.628057,-3.77804,-0.6004735,0.9300877,-19.51572,7.436782,14.48254
257,84.63429,-18.06341,279.4943,W,2.930503,6.212954,5.410896,-3.034343,-0.4051564,0.6381779,-24.13308,4.036003,29.69641
258,91.04111,-13.0884,268.4963,W,2.44448,5.453991,7.632715,-2.187658,-0.1662726,0.4527199,-27.12113,-0.7119389,49.92762
259,99.06565,-16.1746,261.3107,W,3.25372,4.683059,9.062054,-0.9625961,-0.3240185,0.354795,-29.51157,-4.510292,66.11259
260,107.1684,-20.59601,254.577,W,4.36463,4.094085,9.931149,0.2086402,-0.2286249,-0.1340307,-30.58364,-8.43735,80.7522
261,98.10152,-21.27383,249.7826,W,3.945644,4.563348,8.207323,1.189356,-0.07834,-0.6285852,-31.44129,-11.579,92.46388
262,87.30971,-16.7056,247.6964,W,2.887407,5.880159,6.50744,1.934652,-0.08420218,-1.235987,-32.79964,-13.45451,99.84308
263,81.22998,-8.58453,246.1869,SW,1.482011,7.208941,4.151546,2.596545,0.06608272,-1.327383,-33.88632,-14.95491,105.7464
264,78.00939,-3.037631,247.6451,W,0.6631939,8.176199,1.570596,2.876997,0.08486835,-1.288613,-35.4615,-14.5835,106.1903
265,75.88397,-0.6346292,252.0368,W,0.3351882,8.858546,-1.067814,2.771611,0.2166341,-1.198815,-36.68804,-11.89459,98.8833
266,72.2754,10.93268,257.7424,W,-1.534683,7.910442,-4.802769,2.98185,0.1265697,-0.7213142,-36.45926,-7.92115,85.27612
267,68.58817,11.33168,262.5519,W,-1.630451,6.787562,-6.538565,2.933887,0.3718486,-0.687207,-36.27623,-4.7424,74.39037
268,61.87136,9.620911,268.5761,W,-1.37906,5.494693,-7.975086,2.612,0.3362758,-0.5799558,-34.41563,-0.855447,60.60688
269,27.72099,11.50867,274.5761,W,-1.637634,2.777274,-8.870518,2.251742,-0.0127902,-0.4405959,-30.43989,2.436346,48.38599
270,-1.286293,13.64754,280.5357,W,-2.087744,1.42455,-9.607931,2.252142,-0.04889589,-0.7540892,-27.25931,5.06978,38.60928
271,-11.35923,17.99174,287.7112,W,-3.040636,0.557849,-10.26634,2.393101,-0.09845793,-0.5948777,-22.89982,7.3132,29.59383
272,-14.12785,12.09797,295.1353,NW,-1.996764,-0.3591303,-10.68293,2.345404,0.1293676,-0.4513876,-19.41223,9.107937,22.38147
273,-28.64153,11.99761,304.9907,NW,-2.145205,-1.764527,-11.46104,2.260003,0.2892451,-0.4258072,-14.67269,10.27038,18.00468
274,-44.44494,11.14624,315.8284,NW,-2.140416,-2.722207,-12.31817,1.745863,0.2404825,-0.3210874,-10.88106,11.20033,14.50325
275,-63.15795,8.871128,331.5692,NW,-1.685518,-3.842694,-12.48097,0.9570004,0.3992942,0.004263402,-6.133574,11.32927,13.39374
276,-70.28825,7.52978,348.4537,N,-1.364695,-4.331111,-12.21043,0.07101228,0.331213,-0.006528334,-2.335582,11.43242,12.50613
277,-67.38651,11.06198,5.019211,N,-2.169147,-4.103662,-12.22958,-0.9427446,-0.293775,0.05982085,1.005313,11.4466,11.89554
278,-54.45304,10.09714,13.72873,N,-1.999158,-3.342306,-12.82095,-1.608502,-0.3122941,0.3240185,2.904967,11.89074,10.51151
279,-32.76542,8.972116,19.86558,N,-1.671153,-2.104503,-12.5959,-2.512476,-0.02611333,0.406089,4.42469,12.24606,9.404285
280,-17.79925,9.516115,16.03064,N,-1.673547,-0.9552865,-11.87045,-3.201149,0.1918531,0.43953,3.724614,12.96311,6.030815
281,-10.51545,12.14684,13.15803,N,-1.977611,0.7062895,-10.51294,-3.524634,0.1955836,0.3854382,3.164554,13.53675,3.332038
282,25.40731,11.52518,358.3164,N,-1.716643,2.734178,-9.334992,-3.661196,-0.183193,0.5804887,-0.4093604,13.92732,1.670555
283,56.01629,11.56706,347.0727,N,-1.580173,4.515464,-7.687782,-3.793228,-0.08247017,0.6409757,-3.268492,14.23978,0.3413678
284,68.04986,11.93856,328.936,NW,-1.513135,6.059724,-5.564125,-3.526632,0.1159112,0.9358167,-8.412771,13.96584,1.964723
285,72.68829,2.512054,317.6551,NW,-0.1364695,7.053318,-3.457227,-3.428308,0.1361624,0.9768518,-12.52819,13.74668,3.263407
286,75.41931,0.3310432,303.4765,NW,0.1580173,7.534553,-1.233014,-3.221133,0.1456218,0.9398135,-17.90444,11.84016,11.4669
287,77.53456,-7.251025,294.9159,NW,1.125275,7.252037,0.7996634,-3.141461,0.2093064,0.935417,-22.20544,10.31495,18.02969
288,83.48141,-9.126963,285.0217,W,1.656788,6.828263,5.576096,-2.120509,0.04956204,0.6741504,-26.25125,7.044678,31.04152
289,85.59215,-11.05884,275.0239,W,2.154782,6.667852,6.988675,-1.460748,-0.1095161,0.5367889,-29.38706,2.583376,47.32193
290,86.22478,-16.8508,268.23,W,3.294421,6.619968,7.390901,-0.8614736,-0.2801854,0.5451825,-31.89571,-0.9856646,60.34626
291,92.90598,-20.99779,261.8174,W,4.508282,5.640739,9.299079,-0.2326219,0.04489894,0.1039204,-33.36485,-4.79761,72.95489
292,89.44127,-17.68342,256.8452,W,3.481169,5.947197,8.034941,0.9055731,0.4340676,-0.1883891,-34.84266,-8.143291,83.93737
